course_code,course_name,role,seed_reason,subject,department,pid,id,catalog_url
ASTR150,Concepts in Modern Astronomy,prerequisite,,ASTR,Department of Physics and Astronomy,HySJ0P67N,5c4fedddbb9b5e240081086d,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HySJ0P67N
ASTR250,Introduction to Astrophysics,prerequisite,,ASTR,Department of Physics and Astronomy,BJDJ0D6Q4,66d2281c74171541059724aa,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJDJ0D6Q4
ASTR329,Introduction to Observational Astronomy,computing,keyword match: data analysis,ASTR,Department of Physics and Astronomy,SJgFJCvTQ4,5c4fede17ec31124000ce4b3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJgFJCvTQ4
ATWP110,Academic Reading and Writing Support and Development,prerequisite,,ATWP,Academic and Technical Writing Program,HyHqCWran,68a35f14ef7b39ac5c733b8e,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HyHqCWran
ATWP135,Academic Reading and Writing,prerequisite,,ATWP,Academic and Technical Writing Program,HJsvjl1TB,64e7b6f87c6606787bfdbca5,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJsvjl1TB
BCMB301A,Lab Techniques & Projects I,computing,keyword match: bioinformatics,BCMB,Department of Biochemistry and Microbiology,BJ--AwaQ4,5d1f702ad2bc1524008cb1ac,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJ--AwaQ4
BEM310,Digital Health,computing,"keyword match: data analytics, digital health",BEM,Department of Mechanical Engineering,SkCFeGj81e,677d9085dc2f463b08a56844,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SkCFeGj81e
BEM412,Health Data Analytics,computing,"keyword match: computational, data analytics, data mining, machine learning, +1 more",BEM,Department of Mechanical Engineering,HJADFMoI1l,677d996581a472364390d22a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJADFMoI1l
BEM415,Internet of Medical Things (IoMT),computing,keyword match: internet of things,BEM,Department of Mechanical Engineering,ry4khfoLyx,677d9bdc7d5b5d304484a824,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ry4khfoLyx
BEM418,Clinical Trials and Research Methodologies,computing,keyword match: data analysis,BEM,Department of Mechanical Engineering,SyHz17jI1e,677d9f0cdc2f463b08a66bae,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SyHz17jI1e
BEM430,Project Management Biomedical Devices and Digital Health,computing,keyword match: digital health,BEM,Department of Mechanical Engineering,H1ZnnfjUJe,677d9ca940d36eb000c361d3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/H1ZnnfjUJe
BIOC299,Biochemistry for Non-Majors,prerequisite,,BIOC,Department of Biochemistry and Microbiology,Hk6-APpQE,5d1f70aa94e82e2400a23628,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Hk6-APpQE
BIOC300A,General Biochemistry I,prerequisite,,BIOC,Department of Biochemistry and Microbiology,rJCZAvpQN,5d1f6e32d2bc1524008cb046,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJCZAvpQN
BIOC300B,General Biochemistry II,prerequisite,,BIOC,Department of Biochemistry and Microbiology,r10WCPpmV,5d1f7523d2bc1524008cb555,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r10WCPpmV
